Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","126","Lithuania","5510","Production","388","Tomatoes","2016","2016","tonnes","10988","","Official data"
"QC","Crops","256","Luxembourg","5510","Production","388","Tomatoes","2016","2016","tonnes","123","","Official data"
"QC","Crops","129","Madagascar","5510","Production","388","Tomatoes","2016","2016","tonnes","41996","Im","FAO data based on imputation methodology"
"QC","Crops","130","Malawi","5510","Production","388","Tomatoes","2016","2016","tonnes","41644","Im","FAO data based on imputation methodology"
"QC","Crops","131","Malaysia","5510","Production","388","Tomatoes","2016","2016","tonnes","242946","","Official data"
"QC","Crops","132","Maldives","5510","Production","388","Tomatoes","2016","2016","tonnes","270","Im","FAO data based on imputation methodology"
"QC","Crops","133","Mali","5510","Production","388","Tomatoes","2016","2016","tonnes","201694","","Official data"
"QC","Crops","134","Malta","5510","Production","388","Tomatoes","2016","2016","tonnes","12380","","Official data"
"QC","Crops","135","Martinique","5510","Production","388","Tomatoes","2016","2016","tonnes","4306","Im","FAO data based on imputation methodology"
"QC","Crops","137","Mauritius","5510","Production","388","Tomatoes","2016","2016","tonnes","10136","","Official data"
"QC","Crops","138","Mexico","5510","Production","388","Tomatoes","2016","2016","tonnes","4047171","","Official data"
"QC","Crops","273","Montenegro","5510","Production","388","Tomatoes","2016","2016","tonnes","4464","","Official data"
"QC","Crops","142","Montserrat","5510","Production","388","Tomatoes","2016","2016","tonnes","237","Im","FAO data based on imputation methodology"
"QC","Crops","143","Morocco","5510","Production","388","Tomatoes","2016","2016","tonnes","1231248","","Official data"
"QC","Crops","144","Mozambique","5510","Production","388","Tomatoes","2016","2016","tonnes","374000","","Official data"
"QC","Crops","147","Namibia","5510","Production","388","Tomatoes","2016","2016","tonnes","9327","Im","FAO data based on imputation methodology"
"QC","Crops","150","Netherlands","5510","Production","388","Tomatoes","2016","2016","tonnes","900000","","Official data"
"QC","Crops","156","New Zealand","5510","Production","388","Tomatoes","2016","2016","tonnes","91267","Im","FAO data based on imputation methodology"
"QC","Crops","157","Nicaragua","5510","Production","388","Tomatoes","2016","2016","tonnes","74272","","Official data"
"QC","Crops","158","Niger","5510","Production","388","Tomatoes","2016","2016","tonnes","269079","","Official data"
"QC","Crops","159","Nigeria","5510","Production","388","Tomatoes","2016","2016","tonnes","2243228","Im","FAO data based on imputation methodology"
"QC","Crops","162","Norway","5510","Production","388","Tomatoes","2016","2016","tonnes","11141","","Official data"
"QC","Crops","299","Occupied Palestinian Territory","5510","Production","388","Tomatoes","2016","2016","tonnes","221466","Im","FAO data based on imputation methodology"
"QC","Crops","221","Oman","5510","Production","388","Tomatoes","2016","2016","tonnes","111072","","Official data"
"QC","Crops","165","Pakistan","5510","Production","388","Tomatoes","2016","2016","tonnes","575923","Im","FAO data based on imputation methodology"
"QC","Crops","166","Panama","5510","Production","388","Tomatoes","2016","2016","tonnes","18167","Im","FAO data based on imputation methodology"
"QC","Crops","168","Papua New Guinea","5510","Production","388","Tomatoes","2016","2016","tonnes","572","Im","FAO data based on imputation methodology"
"QC","Crops","169","Paraguay","5510","Production","388","Tomatoes","2016","2016","tonnes","50735","","Official data"
"QC","Crops","170","Peru","5510","Production","388","Tomatoes","2016","2016","tonnes","232898","","Official data"
"QC","Crops","171","Philippines","5510","Production","388","Tomatoes","2016","2016","tonnes","210720","","Official data"
"QC","Crops","173","Poland","5510","Production","388","Tomatoes","2016","2016","tonnes","866980","","Official data"
"QC","Crops","174","Portugal","5510","Production","388","Tomatoes","2016","2016","tonnes","1693860","","Official data"
"QC","Crops","177","Puerto Rico","5510","Production","388","Tomatoes","2016","2016","tonnes","17970","Im","FAO data based on imputation methodology"
"QC","Crops","179","Qatar","5510","Production","388","Tomatoes","2016","2016","tonnes","12694","","Official data"
"QC","Crops","117","Republic of Korea","5510","Production","388","Tomatoes","2016","2016","tonnes","466992","Im","FAO data based on imputation methodology"
"QC","Crops","146","Republic of Moldova","5510","Production","388","Tomatoes","2016","2016","tonnes","54641","","Official data"
"QC","Crops","182","Réunion","5510","Production","388","Tomatoes","2016","2016","tonnes","5185","Im","FAO data based on imputation methodology"
"QC","Crops","183","Romania","5510","Production","388","Tomatoes","2016","2016","tonnes","627177","","Official data"
"QC","Crops","185","Russian Federation","5510","Production","388","Tomatoes","2016","2016","tonnes","2986209","","Official data"
"QC","Crops","184","Rwanda","5510","Production","388","Tomatoes","2016","2016","tonnes","118774","","Official data"
"QC","Crops","188","Saint Kitts and Nevis","5510","Production","388","Tomatoes","2016","2016","tonnes","209","Im","FAO data based on imputation methodology"
"QC","Crops","189","Saint Lucia","5510","Production","388","Tomatoes","2016","2016","tonnes","295","Im","FAO data based on imputation methodology"
"QC","Crops","190","Saint Pierre and Miquelon","5510","Production","388","Tomatoes","2016","2016","tonnes","7","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5510","Production","388","Tomatoes","2016","2016","tonnes","503217","Im","FAO data based on imputation methodology"
"QC","Crops","195","Senegal","5510","Production","388","Tomatoes","2016","2016","tonnes","162700","Im","FAO data based on imputation methodology"
"QC","Crops","272","Serbia","5510","Production","388","Tomatoes","2016","2016","tonnes","160456","","Official data"
"QC","Crops","196","Seychelles","5510","Production","388","Tomatoes","2016","2016","tonnes","456","Im","FAO data based on imputation methodology"
"QC","Crops","197","Sierra Leone","5510","Production","388","Tomatoes","2016","2016","tonnes","20352","Im","FAO data based on imputation methodology"
"QC","Crops","200","Singapore","5510","Production","388","Tomatoes","2016","2016","tonnes","66","","Official data"
"QC","Crops","199","Slovakia","5510","Production","388","Tomatoes","2016","2016","tonnes","18922","","Official data"
"QC","Crops","198","Slovenia","5510","Production","388","Tomatoes","2016","2016","tonnes","8652","","Official data"
"QC","Crops","201","Somalia","5510","Production","388","Tomatoes","2016","2016","tonnes","27331","Im","FAO data based on imputation methodology"
"QC","Crops","202","South Africa","5510","Production","388","Tomatoes","2016","2016","tonnes","580851","","Official data"
"QC","Crops","203","Spain","5510","Production","388","Tomatoes","2016","2016","tonnes","4671807","Im","FAO data based on imputation methodology"
"QC","Crops","38","Sri Lanka","5510","Production","388","Tomatoes","2016","2016","tonnes","91967","Im","FAO data based on imputation methodology"
"QC","Crops","276","Sudan","5510","Production","388","Tomatoes","2016","2016","tonnes","617400","","Official data"
"QC","Crops","207","Suriname","5510","Production","388","Tomatoes","2016","2016","tonnes","1500","","Official data"
"QC","Crops","209","Eswatini","5510","Production","388","Tomatoes","2016","2016","tonnes","5504","Im","FAO data based on imputation methodology"
"QC","Crops","210","Sweden","5510","Production","388","Tomatoes","2016","2016","tonnes","14620","","Official data"
"QC","Crops","211","Switzerland","5510","Production","388","Tomatoes","2016","2016","tonnes","41965","","Official data"
"QC","Crops","212","Syrian Arab Republic","5510","Production","388","Tomatoes","2016","2016","tonnes","704732","Im","FAO data based on imputation methodology"
"QC","Crops","208","Tajikistan","5510","Production","388","Tomatoes","2016","2016","tonnes","361531","","Official data"
"QC","Crops","216","Thailand","5510","Production","388","Tomatoes","2016","2016","tonnes","113326","Im","FAO data based on imputation methodology"
"QC","Crops","154","The former Yugoslav Republic of Macedonia","5510","Production","388","Tomatoes","2016","2016","tonnes","161951","","Official data"
"QC","Crops","176","Timor-Leste","5510","Production","388","Tomatoes","2016","2016","tonnes","561","Im","FAO data based on imputation methodology"
"QC","Crops","217","Togo","5510","Production","388","Tomatoes","2016","2016","tonnes","5582","Im","FAO data based on imputation methodology"
"QC","Crops","219","Tonga","5510","Production","388","Tomatoes","2016","2016","tonnes","861","Im","FAO data based on imputation methodology"
"QC","Crops","220","Trinidad and Tobago","5510","Production","388","Tomatoes","2016","2016","tonnes","2280","","Official data"
"QC","Crops","222","Tunisia","5510","Production","388","Tomatoes","2016","2016","tonnes","1303000","","Official data"
"QC","Crops","223","Turkey","5510","Production","388","Tomatoes","2016","2016","tonnes","12600000","","Official data"
"QC","Crops","213","Turkmenistan","5510","Production","388","Tomatoes","2016","2016","tonnes","415406","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5510","Production","388","Tomatoes","2016","2016","tonnes","38234","Im","FAO data based on imputation methodology"
"QC","Crops","230","Ukraine","5510","Production","388","Tomatoes","2016","2016","tonnes","2229690","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","388","Tomatoes","2016","2016","tonnes","47523","Im","FAO data based on imputation methodology"
"QC","Crops","229","United Kingdom","5510","Production","388","Tomatoes","2016","2016","tonnes","96556","","Official data"
"QC","Crops","215","United Republic of Tanzania","5510","Production","388","Tomatoes","2016","2016","tonnes","539914","Im","FAO data based on imputation methodology"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2016","2016","tonnes","13038410","","Official data"
"QC","Crops","234","Uruguay","5510","Production","388","Tomatoes","2016","2016","tonnes","29573","Im","FAO data based on imputation methodology"
"QC","Crops","235","Uzbekistan","5510","Production","388","Tomatoes","2016","2016","tonnes","2648017","Im","FAO data based on imputation methodology"
"QC","Crops","236","Venezuela (Bolivarian Republic of)","5510","Production","388","Tomatoes","2016","2016","tonnes","162140","","Official data"
"QC","Crops","249","Yemen","5510","Production","388","Tomatoes","2016","2016","tonnes","200869","Im","FAO data based on imputation methodology"
"QC","Crops","251","Zambia","5510","Production","388","Tomatoes","2016","2016","tonnes","25645","Im","FAO data based on imputation methodology"
"QC","Crops","181","Zimbabwe","5510","Production","388","Tomatoes","2016","2016","tonnes","24863","Im","FAO data based on imputation methodology"
